REF;DESIGNATION;QUANTITE STOCK;CATEGORIE;INUTILE;INUTILE2;INUTILE OU INEXPLOITE;BENEFICIAIRE OU N°COMMANDE;INUTILE3;MACHINE;FOURNISSEUR;REF FOURNISSEUR;Colonne9;STOCK MINI;INUTILE4;DATE ENTREE;INUTILE OU FUTUR DATE DE SORTIE
SBS05XY;SLUGS INDIUM 6mm X 6mm  (unité:gr);1900;Cibles / Slugs;;;;;;;PRAXAIR;NC;0;0;;19/01/2017;  /  /    
SBS01XA3;slugs AU ;900;Cibles / Slugs;;;;;;;PRAXAIR;nd;0;0;;26/02/2018;  /  /    
SBS08XA1;SLUG TI (TITANIUM) 99,9% (unité:gr);500;Cibles / Slugs;;;;;;;PTS;nc;0;500;;09/03/2018;  /  /    
SBS13XA;SLUGS CR 99,9995 % 3MM a 5 MM(unité:gr);460;Cibles / Slugs;;;;VANDROUX/CHARRIER;;;PTS;nc;100;100;;09/03/2018;  /  /    
SBS09XA;SLUG FE2O3 (IRON OXYDE 99,9% 3-12 MM(unité:gr);400;Cibles / Slugs;;;;;;;MATERION;1-1074;0;0;;12/09/2012;  /  /    
SBS07XA;SLUG CU (COPPER) 99,9%(unité:gr);300;Cibles / Slugs;;;;;;;PTS;nc;0;0;;12/09/2012;  /  /    
SBS03XA;SLUG PT 0.250X0.250(unité:gr);300;Cibles / Slugs;;;;;;;PTS;NC;0;0;;17/05/2013;  /  /    
SBS08XA2;SLUG TI (TITANIUM) 99,9% (unité:gr);300;Cibles / Slugs;;;;;;;PTS;nc;0;500;;13/09/2017;  /  /    
SBS08XA3;SLUG TI (TITANIUM) 99,9% (unité:gr);300;Cibles / Slugs;;;;;;;PTS;nc;0;500;;02/10/2018;  /  /    
SBS12XA;SLUGS GERMANIUM 99,999% 0.1''-0.5''(unité:gr);300;Cibles / Slugs;;;;VANDROUX/CHARRIER;;;PTS;nc;0;200;;26/02/2018;  /  /    
SBS14XA;SLUGS ZNS 99,99 % DIAM 3 A 12 MM (unité:gr);300;Cibles / Slugs;;;;VANDROUX/CHARRIER;;;PTS;nc;0;0;;01/09/2015;  /  /    
SBS03XA2;SLUG PT 0.3X0.6(unité:gr);280;Cibles / Slugs;;;;;;;NEYCO;PT3X64N;0;0;;16/04/2013;  /  /    
SBS17XA;ITO 90 IN 203/0 SN 02 WT %;200;Cibles / Slugs;;;;*;;;PTS;*;0;0;;11/12/2013;  /  /    
SBS15XA4;Slug AL 99.999 0.25 inch;200;Cibles / Slugs;;;;;;;PTS;nc;0;100;;26/09/2018;  /  /    
SBS02XA5;slugs NI 0.25x0.25(unité:gr);200;Cibles / Slugs;;;;;;;PTS;nd;0;300;;26/09/2018;  /  /    
SBS11XA;SLUGS SIO2 3 à 12 mm X(unité:gr);200;Cibles / Slugs;;;;;;;PTS;nc;0;0;;04/07/2013;  /  /    
SBS15XA;Slug AL 99.999 0.25 inch;100;Cibles / Slugs;;;;;;;PTS;nc;0;100;;13/11/2017;  /  /    
SBS02XA6;slugs NI 0.25x0.25(unité:gr);100;Cibles / Slugs;;;;;;;PTS;nd;0;300;;01/03/2011;  /  /    
SBS02XA7;slugs NI 0.25x0.25(unité:gr);100;Cibles / Slugs;;;;;;;PTS;nd;0;300;;21/12/2016;  /  /    
SBS06XA8;SLUGS PD 0,250x0,250(unité:gr);100;Cibles / Slugs;;;;;;;PTS;NC;100;100;;05/01/2017;  /  /    
SBS06XA9;SLUGS PD 0,250x0,250(unité:gr);50;Cibles / Slugs;;;;;;;PTS;NC;100;100;;26/07/2013;  /  /    
SBB01L;BACKING PLATE VIERGE CUIVRE POUR CT200 DIAM290;4;Cibles / Slugs;Depot;179;ALLIANCE CONCEPT;CATHODE NORDICO PLAN;262;AC CT200A;ALLIANCE;REALISEE CHEZ PEYRONNARD;0;0;;28/02/2018;  /  /    
SBC29L;cible 300mm TITANIUM 4N5 MONOBLOC;2;Cibles / Slugs;;;;TRI-711382;;;PRAXAIR;MRCFTI0025037;0;2;;07/10/2016;  /  /    
DEP_H57;BACKING PLATE 300MM PVD;1;Cibles / Slugs;;;;;338;VERSALIS;SPTS;ND;0;0;;19/12/2016;  /  /    
SBC45LU;CI ALSI 1% 99,999% DIAM.13.558x0.300 (FLAT) ;1;Cibles / Slugs;Depot;;;;140;END 5500D;PTS;NC;0;1;;06/09/2016;  /  /    
SBC72L;"CIBLE AL 5N5 SUPER FINE GRAIN DIAM 13.558 EP0.300""";1;Cibles / Slugs;;100;AAA - Non définie;;140;END 5500D;PTS;*;2;2;;20/12/2018;  /  /    
SBC37L;CIBLE AL SFG SUPER FINE GRAIN DIAM 332 MM EP 7 MM;1;Cibles / Slugs;Depot;;;;223;SIGMA1;PTS;155014C/196768;0;1;;01/06/2017;  /  /    
SBC06L;CIBLE AL/SI 1% 5N5 (TOP HAT);1;Cibles / Slugs;Depot;;;4000312481;140;END 5500D;PRAXAIR;MRCFAL1121649;0;1;;11/05/2017;  /  /    
SBC46LU;CIBLE ARGENT 99,999% DIAM 13.558X0.300;1;Cibles / Slugs;Depot;;;;140;END 5500D;PTS;NC;0;0;;15/06/2016;  /  /    
SBC12L;CIBLE CHROME 200 MM;1;Cibles / Slugs;;;;;;;HONEYWELL;03-27688/01;0;0;;12/09/2012;  /  /    
SBC63L;CIBLE COFE RECTANGULAIRE 350X140X6MM AVIZA IBD 300;1;Cibles / Slugs;Depot;100;AAA - Non définie;NEUVE;;;PTS;*;1;0;;26/02/2016;  /  /    
SBC10L;CIBLE COPPER 200MM 5N5 FGR MONOBLOC ;1;Cibles / Slugs;;;;;;;PRAXAIR;MRCFCU0026455;0;1;;16/04/2012;  /  /    
SBC08L1;CIBLE COPPER 300 MM 5N MONOBLOC;1;Cibles / Slugs;;;;;338;VERSALIS;PRAXAIR;MRCFCU0025670;0;2;;29/05/2018;  /  /    
SBC08L2;CIBLE COPPER 300 MM 5N MONOBLOC;1;Cibles / Slugs;;;;;338;VERSALIS;PRAXAIR;MRCFCU0025670;0;2;;04/12/2018;  /  /    
SBC07L;CIBLE COPPER 5N5 TOP HAT 13inD MONOBLOC;1;Cibles / Slugs;Depot;;;;140;END 5500D;PRAXAIR;MRCFCU0026711;0;0;;02/05/2017;  /  /    
SBC68LU;CIBLE Cr;1;Cibles / Slugs;Depot;100;AAA - Non définie;;139;END 5500C;PTS;*;1;0;;02/03/2016;  /  /    
SBC41L;"CIBLE CR 200 MM (BHT) 13.558 DIAM X0.310""""";1;Cibles / Slugs;;;;;139;END 5500C;WILLIAMS;NC;0;0;;24/06/2013;  /  /    
SBC55L;CIBLE Cu Te2 (4N) 100MM X 6MM;1;Cibles / Slugs;;;;*;;;NIKKO;.;0;0;;03/06/2014;  /  /    
SBC40L;"CIBLE FE-NI 19% WT%  99.95% DIAM 13.558 X 0.078""""";1;Cibles / Slugs;Depot;;;4000312279;140;END 5500D;PTS;NC;0;0;;24/06/2013;  /  /    
SBC40LU;"CIBLE FE-NI 19% WT%  99.95% DIAM 13.558 X 0.078""""";1;Cibles / Slugs;Depot;;;4000312279;140;END 5500D;PTS;NC;0;0;;06/09/2016;  /  /    
SBC59LU;CIBLE FLAT TIO2;1;Cibles / Slugs;Depot;100;AAA - Non définie;;140;END 5500D;JX;*;0;0;;03/10/2016;  /  /    
SBC48L;CIBLE GD 99.4%;1;Cibles / Slugs;;;;BERNARD.M;;;PTS;*;0;0;;20/03/2014;  /  /    
SBC67LU;CIBLE Ge;1;Cibles / Slugs;Depot;100;AAA - Non définie;;139;END 5500C;PTS;*;1;0;;02/03/2016;  /  /    
SBC23L;CIBLE GE 99,99% 100 MM ;1;Cibles / Slugs;;;;;;;PTS;nc;0;0;;05/06/2013;  /  /    
SBC58L;CIBLE GE69.5%SB11%TE19.5%;1;Cibles / Slugs;Depot;106;AMAT;;434;END 300B;JX;FNQ-A20-000587A ;1;1;;01/12/2015;  /  /    
SBC65L;CIBLE GZO;1;Cibles / Slugs;Depot;100;AAA - Non définie;;140;END 5500D;PTS;*;1;0;;02/03/2016;  /  /    
SBC61L;CIBLE HALFIUM TOP HAT PETIT DIAMETRE ENDURA CHD;1;Cibles / Slugs;Depot;100;AAA - Non définie;;137;END 5500A;JX;*;1;0;;26/02/2016;  /  /    
SBC66LU;CIBLE IGZO;1;Cibles / Slugs;Depot;100;AAA - Non définie;;140;END 5500D;PTS;*;1;0;;02/03/2016;  /  /    
SBC47L;CIBLE ITO (4N) 90/10 UHD.IV 254mm x 6 mm ;1;Cibles / Slugs;;;;TESSAIRE MAGALI ;262;AC CT200A;JX;LCQ-11X-000155A ;0;0;;06/09/2016;  /  /    
SBC62LU;CIBLE MGO RECTANGULAIRE 350X140X6MM AVIZA IBD 300;1;Cibles / Slugs;Depot;100;AAA - Non définie;USURE 6KWH;;;;;1;0;;26/02/2016;  /  /    
SBC64LU;CIBLE MO ;1;Cibles / Slugs;Depot;100;AAA - Non définie;;137;END 5500A;PTS;*;1;0;;02/03/2016;  /  /    
SBC73L;CIBLE NI2P 300MM;1;Cibles / Slugs;Depot;100;AAA - Non définie;;309;END 300A;;;0;0;;07/12/2017;  /  /    
SBC01L;CIBLE OR;1;Cibles / Slugs;;;;MATERION (FR);;;WILLIAMS;ND;0;1;;17/10/2018;  /  /    
SBC38L;CIBLE OXYDE DE GADOLINIUM (GD203) DIAM 100 MMX6MM;1;Cibles / Slugs;;;;BERNARD Mathieu ;;;PRAXAIR;NC;0;1;;29/07/2014;  /  /    
SBC18L;CIBLE PZT 200 MM;1;Cibles / Slugs;Depot;;;4000328254 RODRIGUEZ;140;END 5500D;PTS;NC;0;0;;12/09/2012;  /  /    
SBC18LU;CIBLE PZT 200 MM;1;Cibles / Slugs;Depot;;;4000328254 RODRIGUEZ;140;END 5500D;PTS;NC;0;0;;06/09/2016;  /  /    
SBC59L;CIBLE SB (DIAMETRE 6.16,EPAISSEUR 0.118);1;Cibles / Slugs;Depot;106;AMAT;;434;END 300B;JX;FNR-SBG-R00547B;1;1;;29/09/2016;  /  /    
SBC28L;CIBLE SILICIUM 5N DIAM 13.558'' EP 0.125'' ANGLE45;1;Cibles / Slugs;Depot;;;;140;END 5500D;PTS;nc;1;1;;15/09/2017;  /  /    
SBC44L;CIBLE TA 99,99 % DIAM 100 mm x 6 mm ep.;1;Cibles / Slugs;;;;;;;PTS;NC;0;0;;22/01/2014;  /  /    
SBC02L;CIBLE TITANE 4N5 ENDURA G12 BHT;1;Cibles / Slugs;Depot;;;;;;PRAXAIR;MRCFTI0022940;0;1;;24/10/2018;  /  /    
SBC05L;CIBLE TITANE 4N5 ENDURA G4 41.01;1;Cibles / Slugs;;;;;;;PRAXAIR;MRCFTI0022171;0;2;;08/08/2018;  /  /    
SBC25L;CIBLE TITANE DIAM 100 MM EP 6 MM ;1;Cibles / Slugs;;;;;;;NEYCO;nc;0;0;;05/06/2013;  /  /    
SBC66L;CIBLE ZB/A AL DIAX0.276 5N5;1;Cibles / Slugs;Depot;100;AAA - Non définie;;;;TOSOH;4444H-13-000-550;1;1;;14/09/2017;  /  /    
SBC60LU;CIBLE ZR ENDURA A 200MM CHD TOP HAT PETIT DIAMETRE;1;Cibles / Slugs;Depot;100;AAA - Non définie;;137;END 5500A;JX;*;1;0;;18/02/2016;  /  /    
CIBLEPLATINUM;PLATINUM 4 N END 200 TOPHAT 13inD X 0,170inTH SOLDERBOND;1;Cibles / Slugs;;;;;;;;;;;;04/03/2019;
;;;;;;;;;;;;;;;;
