Filiale;site;n° parc GT;Categorie vehicule;Souscategorie vehicule;Date incorporation;Mode acquisition;Marque;Modele;Immatriculation;Date miseenservice;Num serie;Date sortie;Commentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.03;HUTCHINSON;495828;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;30/06/2014;Location longue durée;YALE;MO20;SRB BLANCHARD;30/06/2014;E857T02374M;15/07/2018;Fin LLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.03;HUTCHINSON;495829;GTX ENGIN MAGASINAGE;TRANSPALETTE PREPARATEUR DE COMMANDE;30/06/2014;Location longue durée;YALE;MO20;SRB BLANCHARD;30/06/2014;E857T02373M;15/07/2018;Fin LLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.03;IMECA;486894;GTX ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR ACCOMPAGNANT;25/11/2016;Achat occasion;STILL;EGV-14;GT LOGISTICS.03;02/01/2002;710244008723;15/07/2018;Fin LLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.03;ISOVER;407326;GTX ENGIN MAGASINAGE;GERBEUR A CONDUCTEUR AUTOPORTE;06/10/2017;Location longue durée;BT;SWE120;;01/01/2013;;15/07/2018;Fin LLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.03;ISOVER;497317;GTX CHARIOT FRONTAL; ;06/10/2017;Location longue durée;FENWICK;H30T;;01/01/2013;H2X393E05273;15/07/2018;Fin LLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.03;ISOVER;497318;GTX CHARIOT FRONTAL; ;06/10/2017;Location longue durée;FENWICK;H30T;;01/01/2013;H2X393E05226;15/07/2018;Fin LLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.03;ISOVER;497319;GTX CHARIOT FRONTAL; ;06/10/2017;Location longue durée;FENWICK;H30T;;01/01/2013;H2X393E05251;15/07/2018;Fin LLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.03;ISOVER;497320;GTX CHARIOT FRONTAL; ;06/10/2017;Location longue durée;FENWICK;H30T;;01/01/2013;H2X393E05288;15/07/2018;Fin LLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.03;ISOVER;497321;GTX CHARIOT FRONTAL; ;06/10/2017;Location longue durée;FENWICK;H30T;;01/01/2013;H2X393E05279;15/07/2018;Fin LLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.03;ISOVER;497322;GTX CHARIOT FRONTAL; ;06/10/2017;Location longue durée;FENWICK;H30T;;01/01/2013;H2X393E05240;15/07/2018;Fin LLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.03;ISOVER;497323;GTX CHARIOT FRONTAL; ;06/10/2017;Location longue durée;FENWICK;H30T;;01/01/2013;H2X393E05298;15/07/2018;Fin LLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.03;ISOVER;497324;GTX CHARIOT FRONTAL; ;06/10/2017;Location longue durée;FENWICK;H30T;;01/01/2013;H2X393E05267;15/07/2018;Fin LLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.03;ISOVER;497325;GTX CHARIOT FRONTAL; ;06/10/2017;Location longue durée;FENWICK;E20;;01/01/2013;H2X386E57894;15/07/2018;Fin LLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.03;MECACHROME;490428;GTX ENGIN MAGASINAGE;CHARIOT ELEVATEUR RETRACTABLE;02/01/2009;Location longue durée;BT;RRB3;TOYOTA MATERIAL HANDLING;02/01/2009;6067712;15/07/2018;Fin LLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.01;PAPETERIE EMIN LEYDIER;405251;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL 9T<>=16T;04/04/2013;Achat neuf;HYSTER;CHARIOT;GT LOGISTICS.01;04/04/2013;R005B02339L;15/06/2018;Cession externe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.04;RTA Dunkerque;496202;GTX CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL 5T<>=9T;01/11/2014;Location longue durée;MITSUBISHI;FD50K;JEAN BART LOCATION;;01/11/2014;EF 28350021;Sortie MAJ parc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.04;BLUE STAR;486689;CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL 2.5T<>=5T;;08/06/2016;Achat occasion;TOYOTA;027FGJF35;17/02/2004;11881;17/09/2018;vendus par Hacene;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.04;BLUE STAR;405355;CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL =<2.5T;;04/03/2013;Achat neuf;NISSAN;U1D2A25LQ;04/03/2013;701990;17/09/2018;vendus par Hacene;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.04;RTA Dunkerque;405248;CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL 9T<>=16T;;04/04/2013;Achat neuf;HYSTER;CHARIOT;04/04/2013;R005B02262K;18/09/2018;vendus à RTA59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.04;RTA Dunkerque;405249;CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL 9T<>=16T;;04/04/2013;Achat neuf;HYSTER;CHARIOT;04/04/2013;R005B02328L;18/09/2018;vendus à RTA59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.04;BLUE STAR;485693;CHARIOT FRONTAL;CHARIOT ELEVATEUR FRONTAL =<2.5T;;13/02/2014;Achat occasion;HYSTER;H2.5FT;13/02/2014;L177B16063E;18/09/2018;vendus par Hacene;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GT LOGISTICS.04;BLUE STAR;485506;ENGIN MAGASINAGE;TRANSPALETTE A CONDUCTEUR AUTOPORTE;;18/12/2012;Achat occasion;FENWICK;T18;12/11/2007;W4X36OU00362;18/09/2018;Vu hacene LIDL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
