machine,Équipement Eyelit,Commentaire Patrice,
?,A DETERMINER,,
A DETERMINER,A DETERMINER,,
AAA - COMMUN,A DETERMINER,,
AAA - NON DÉFINIE,A DETERMINER,,
AAA-COMMUN,A DETERMINER,,
ABS 200A,?,,
AC CT200A,AC_CT200A,,
AC EVA451A,AC_EVA451,,
AC_EVA451,AC_EVA451,,
AC_EVA760_,AC_EVA760_A,,
ACS 300A,ACS300A,,
ACTENIUM,ACTEMIUM1,,
AD 100A,?,,
AET1,AET1,,
AFM X3D1,?,,
AIXTRON CRIUS,AIXTRON_CRIUS1,,
AIXTRON Crius 1,AIXTRON_CRIUS1,,
AIXTRON_CRIUS1,AIXTRON_CRIUS1,,
ALARM,ALARM2,,
ALCATEL,?,,
ALLEGRO1,ALLEGRO1,,
ALTA CVD 300,ALTA_CVD300A,,
ALTA CVD1,?,N'existe plus,PHOTO PIECES ASSOCIEES
ALTACVD 200B,ALTA_CVD200B,"A été vendue, aucune pièce ne devrait être en stock pour cet équipement",PHOTO PIECES ASSOCIEES
ALTACVD 300A ,ALTA_CVD300A,,
ALTACVD300,ALTA_CVD300A,,
AMAT,?,Liste des pièces à voir. Possible que toutes ces pièces soient communes aux équipements de la marque Applied Materials,
AMAT (TOUTES),?,Liste des pièces à voir. Possible que toutes ces pièces soient communes aux équipements de la marque Applied Materials,
AMAT(TOUTES),?,Liste des pièces à voir. Possible que toutes ces pièces soient communes aux équipements de la marque Applied Materials,
ANCOLYSER 1,ANCOLYSER1,,
ARCHER100,ARCHER_100A ; ARCHER_100A_LTDEQT,,
ARCHER600,ARCHER_600A ; ARCHER_600A_LTDEQT,,
ASM 100A,ASM100A,,
ASM EPSILONE1A,EPSILON3200A,Epsilon 3200A,
ASM300,ASM300A,,
ASML_NXT1,ASML_NXT1,,
AXIOSPECT 300A,AXIOSPECT_300A,,
CANON5510IZ1,CANON5510IZ1,,
CB8A ,CB8A,,
Cent 300 LTM1,?,"N'existe plus, a voir combien de pièces sont liées à cet équipement pour statuer",PHOTO PIECES ASSOCIEES
CENT 300 LTM2,CENT300_LTM2,,
CENT 300A,CENT300A,,
CENT 5200 (TOUS MODÈLES),CENT5200A ; CENT5200B ; CENT5200C ; CENT5200D ; CENT5200E ; CENT5200G,,
CENT 5200A,CENT5200A,,
CENT 5200B,CENT5200B,,
CENT 5200C,CENT5200C,,
CENT 5200D,CENT5200D,,
CENT 5200E,CENT5200E,,
CENT 5200G,CENT5200G,,
CENT AP1,CENTAP,,
CENT300 LTM1,?,,
CENT300 LTM2,CENT300_LTM2,,
CENT300LTM2,CENT300_LTM2,,
CENT5200B,CENT5200B,,
CENT520B,CENT5200B,,
CENTURA 300 LTM2,CENT300_LTM2,,
CHILLERS,?,,
CHIMIE,?,,
CHIMIE 41,?,,
CLN 200,CLN200A,,
CMB1,CMB1,,
COMMUN,A DETERMINER,,
COMMUN SPAT,A DETERMINER,,
COMPLUS4T,COMPLUS_4T,,
CONTRADE (TOUS MODEL ) ,CONTRADE_1 ; CONTRADE_2,,
CONTRADE (TOUS MODÈLES) ,CONTRADE_1 ; CONTRADE_2,,
Contrade tous,CONTRADE_1 ; CONTRADE_2,,
CRD(TOUS MOD),?,,
CVS1,CVS1,,
D8FABLINE1,D8_FABLINE1,,
DÃ©pots 41,?,,
DISCO1,DISCO1,,
DISCO5,DISCO5,,
DNS RF3,DNSRF3,,
DNS RF3A,DNSRF3,,
DNS SU 3100,DNS_SU3100A ; DNS_SU3100B,,
DNS SU3100,DNS_SU3100A ; DNS_SU3100B,,
DSM8A,DSM8A,,
E500A,E500A,,
EBARA,EBARA,,
EBARA1,EBARA_BEVEL1,,
END 300A,END300A,,
END 300B,END300B,,
END 5500 (TOUS MODÈLES),END5500A ; END5500B ; END5500C ; END5500D,,
END 5500 D,END5500D,,
END 5500(TOUTE),END5500A ; END5500B ; END5500C ; END5500D,,
END 5500A,END5500A,,
END 5500B,END5500B,,
END 5500C,END5500C,,
END 5500D,END5500D,,
END300,END300A ; END300B,,
END300A,END300A,,
END300B,END300B,,
END5500,END5500A ; END5500B ; END5500C ; END5500D,,
END5500(toute),END5500A ; END5500B ; END5500C ; END5500D,,
ENDURA (TOUTE),END5500A ; END5500B ; END5500C ; END5500D ; END300A ; END300B,,
endura 300,END300A ; END300B,,
endura 300 pvd chamber,END300A ; END300B,,
Endura 300B,END300B,,
ENDURA 5500 D,END5500D,,
EPSILON 3200A,EPSILON3200A,,
EPSILON3200A,EPSILON3200A,,
ETUVE 101,ETUVE_101,,
ETUVE DIVERS,ETUVE_1 ; ETUVE_10 ; ETUVE_101 ; ETUVE_102 ; ETUVE_103 ; ETUVE_104 ; ETUVE_106 ; ETUVE_108 ; ETUVE_109 ; ETUVE_11 ; ETUVE_12 ; ETUVE_13 ; ETUVE_14 ;  ETUVE_15 ; ETUVE_2 ; ETUVE_201 ; ETUVE_202 ; ETUVE_3 ; ETUVE_301 ; ETUVE_302 ; ETUVE_303 ; ETUVE_305 ; ETUVE_306 ; ETUVE_307 ; ETUVE_308 ; ETUVE_309 ; ETUVE_310 ; ETUVE_311 ; ETUVE_4 ; ETUVE_401 ; ETUVE_403 ; ETUVE_404 ; ETUVE_5 ; ETUVE_6 ; ETUVE_7 ; ETUVE_8 ; ETUVE_9 ; ETUVE_AUTOCLAVE_MELAG ; ETUVE_CHOCS1 ; ETUVE_CLIMATS1 ; ETUVE_CU1 ; ETUVE_HMDS1 ; ETUVE_POLYM1 ; ETUVE_WEISS1 ; ETUVE_WK3A ; ETUVE_WTL34A,,
ETUVE POLYM1,ETUVE_POLYM1,,
EVG 101A,EVG_101A,,
EVG 150A,EVG_150A,,
EVG 520A,EVG_520A,,
EVG 560,EVG_560A,,
EVG 640A,EVG_640A,,
EVG 850A,EVG_850A,,
EVG GEMINI FB1,EVG_GEMINI_FB1,,
EVG HALT1,EVG_HALT1,,
EVG_520A,EVG_520A,,
EVG_580CB,EVG_580CB,,
EVG150A,EVG_150A,,
FIB EXPIDA1,FIB_EXPIDA_LTD_EQT,,
FIB_G3A,FIB_G3A,,
FIB-HELIOS,FIB_HELIOS,,
FLEXUS 1,?,,
FRT-MICROPROF,FRT_MICROPROF1,,
FSI MAGELLAN,FSIMAGELLAN,,
FSI MAGELLAN1,FSIMAGELLAN,,
FSM 900,?,?,PHOTO PIECES ASSOCIEES
FX300A,FX300A,,
GLASSMAN HIGH VOLTAGE,?,N'est pas un équipement => probablement alim implanteurs,PHOTO PIECES ASSOCIEES
GRA003-GRA004-GRA005-GRA006,?,"Voir date de création des pièces, cela ressemble à des dénominations de tools du bât 40, tous sortis à ce jour",TBG POLYURETHANE ID 5/8 ' (EN MÈTRE) ENTREE EN 2017
H4160,H4160,,
H5000A,H5000A,,
H9300,H9300A,,
HCG4000,HCG4000A ; HCG4000A_LDTEQT,,
HOTPLATE,?,,
HRP340,HRP340,,
IBDFOX1,?,"Ce tool a été vendu, il ne doit pas rester de pièces",PHOTO PIECES ASSOCIEES
ICPMS 2,ICPMS2,,
IL1000A,IL1000A,,
IMPACT ADIXEN,?,Il n'y a pas de nom Eyelit pour ces équipements,ALORS ON CREE UN FAUX EQUIPEMENT ?
INSIGHT_3D1,INSIGHT_3D1,,
IONFAB1,IONFAB1,,
IPC (TOUS MODÈLES),IPC33B ; IPC35A,,
IVS 165A,IVS_165A,,
JIPELEC 3,JIPELEC_3,,
JIPELEC 4,JIPELEC_4,,
JIPELEC 5,JIPELEC_5,,
JIPELEC1,?,,
JIPELEC2,JIPELEC_2,,
JVX 5200T1,JVX5200T1,,
K_SPACE1,K_SPACE1,,
KLA AIT XP1,KLA_AITXP1,KEITHLEY_1,?
KLA P16A,KLA_P16A,,
KLMS RC8,?,,
KSM RC8,KSM_RC8A,,
KSM_RC8A,KSM_RC8A,,
LAM (TOUS MODÈLES),LABRAM_HR1 ; LAM_MEMS1 ; LAM9400A ; LAM9600B ; LAMVERSYS1 ; LAMVERSYS2 ; LAMVERSYS3 ; LAMVERSYS4,LABRAM_HR1,
LAM 9400A,LAM9400A,,
LAM 9600B,LAM9600B,,
LAM VERSYS1,LAMVERSYS1,,
lam versys1 STS VPX1,LAMVERSYS1,,
LAM VERSYS2,LAMVERSYS2,,
LAM VERSYS3,LAMVERSYS3,,
LAM_MEMS1,LAM_MEMS1,,
LEONARDO1,LEONARDO1,LEICA_EM_TXP1,Non
LEONARDO2,LEONARDO2,LEICA_VB6B,Non
LEVITOR,LEVITOR_4200A ; LEVITOR_4300A,,
LEVITOR 4200A,LEVITOR_4200A,,
LEVITOR 4300,LEVITOR_4300A,,
LEVITOR 4300A,LEVITOR_4300A,,
LIFT TOOL ENDURA 300,END300A ; END300B,Endura 300A ; Endura 300B,
LLS EVO-1,LLS_EVO1,,
LT3100A,?,Screen_LT3100A,
M460A,M460A,,
M550,M550B ; M550C ; M550E,,
M550 (TOUS MODÈLES),M550B ; M550C ; M550E,,
MA8A,MA8A,,
MAGNETA 1020,MAGNETA_1020A ; MAGNETA_1020B,,
MATR 2000A,MATR_2000A,,
MATRIX 200A,MATRIX200A,,
MATTSON ASPEN III,?,,
MATTSON1,MATTSON1,,
Mattson1 et 2,MATTSON1 ; MATTSON2,,
MBRAUN_BAG2,MBRAUN_BAG2,,
MDS 150A,MDS150A,,
METRICON,METRICON_1,,
MICROSCOPE,?,,
MIRRA (TOUS MODÈLES),MIRRA1 ; MIRRA2,,
MIS,?,,
MOCVD III-V ,MOCVD_III_V,,
NANOMETRICS 3,NANOMETRICS3,,
NE330A,NE330A,,
NE800A,NE800A,,
NET MERCURY,?,,
NEXUS 350A,NEXUS350,,
NIKON NSR1,NIKON_SR1,,
NIKON_NSR&,NIKON_SR1,,
NIKON_NSR1,NIKON_SR1,,
NIKON_SR1,NIKON_SR1,,
NOVA T600A ,NOVA_T600A,,
NSX 320A ,NSX_320A,,
NV8200,NV8200,,
OKAMOTO (TOUTES) ,OKAMOTO_1OKAMOTO_2,,
OPTI SST20A,OPTI_SST20A,,
OUTGASSING1,OUTGASING1,,
OXFORD IBE1 ,OXFORD_IBE1,,
P11,P11,,
P120,?,,
P15,P15,,
P5000 (TOUS MODÈLES),P5000A ; P5000D ; P5000E,,
P5000A,P5000A,,
P5000B,?,"Equipement sorti, bilan des pièces à faire",18 PIECES MAIL DÉJÀ ENVOYE EN MARS
P5000C,?,"Equipement sorti, bilan des pièces à faire",67 PIECES MAIL DÉJÀ ENVOYE EN AVRIL
P5000D,P5000D,,
P5000E,P5000E,,
PAILLASSE,?,,
Paillasse P120,?,,
PHO010,?,,
PHO032,?,,
PLANAR 300,PLANAR,,
PLANAR 300A,PLANAR,,
POLOS_SPIN150I,POLOS_SPIN150I,,
POLYGON1,POLYGON1,,
PRIMAXX_MONARCH25,PRIMAXX_MONARCH25,,
PRIME,PRIME_1,,
PRODUCE CLEAN 200A,PRODUCE_CLEAN_200A,,
PRODUCER GT(TOUTE),PRODUCER_GT1 ; PRODUCER_GT2,,
PRODUCER GT1,PRODUCER_GT1,,
PRODUCER GT2,PRODUCER_GT2,,
PRODUCER SE1,PRODUCER,Producer,
PRODUCER(TOUTE),PRODUCER,,
PRODUSER SE1,PRODUCER,Producer,
QS3300,QS_3300A,,
QUADRA D200A,?,"Equipement sorti, bilan des pièces restantes à faire",PHOTO PIECES ASSOCIEES
RAIDER (TOUTES),RAIDER_4A ; RAIDER_4B ; RAIDER_ECD1 ; RAIDER_ECD2 ; RAIDER_ECD3 ; RAIDER_ECD4 ; RAIDER_SIPO1 ; RAIDERCLEAN1,,
RAIDER SIPO1,RAIDER_SIPO1,,
RAPIER 300A,RAPIER_300A,,
RCD8A,RCD8_A,,
RCD8B,RCD8_B,,
RECIF  (TOUS MODÈLES),RECIF_1 ; RECIF_10 ; RECIF_11 ; RECIF_12 ; RECIF_13 ; RECIF_14 ; RECIF_15 ; RECIF_16 ; RECIF_17 ; RECIF_18 ; RECIF_19 ; RECIF_2 ; RECIF_20 ; RECIF_21 ; RECIF_23 ; RECIF_24 ; RECIF_25 ; RECIF_26 ; RECIF_27 ; RECIF_28 ; RECIF_29 ; RECIF_3 ; RECIF_30 ; RECIF_31 ; RECIF_32 ; RECIF_33 ; RECIF_34 ; RECIF_35 ; RECIF_4 ; RECIF_5 ; RECIF_6 ; RECIF_7 ; RECIF_8 ; RECIF_9,,
REFLEXION,REFLEXION,,
REFLOW 300A,REFLOW_300A,,
RESMAP2,RESMAP2,,
RUS 300A,RUS300A,,
SAM_AUTO1,S150B1,S150B1,
SAT HF1,SATHF1,,
SAVANNAH1,SAM450A,SAM450A,
SCA1,?,?,
SCREEN_LT3100A,SCREEN_LT3100A,,
SCRUB (TOUS MODÈLES),SCD_50A,SCD_50A,
SCRUB5,SCEPTER1,SCEPTER1,
SE1280,SE1280_LTDEQT,,
SECFC1,?,SET FC1 Equipement vendu,PHOTO PIECES ASSOCIEES
SEMI (TOUTE),SEMI1 ; SEMI2 ; SEMI4,,
SEZ 203A,SEZ_SP203A,,
SEZ(TOUTE),SEZ_201A ; SEZ_SP203A ; SEZ_SP203B,,
SEZ_201A,SEZ_201A,,
SICONNEX 1,SICONNEX1,,
SICONNEX 2,SICONNEX2,,
SICONNEX 3,SICONNEX3,,
SICONNEX(TOUTES),SICONNEX1 ; SICONNEX2 ; SICONNEX3,,
SICONNEX1,SICONNEX1,,
SIGMA1,SIGMA1,,
SMS,SMS,,
SOFFA1 (EX PMC 050),?,?,
SOKUDO DUO 1,SOKUDO_DUO1,,
SOKUDO DUO 2,SOKUDO_DUO2,,
SOKUDO_DUO2,SOKUDO_DUO2,,
SONOSCAN,?,?,
SORTER BROOKS1,SORTER_BROOKS1,,
SORTER RECIF1,SORTER_RECIF1,,
SORTER RORZE1,SORTER_RORZE1,,
SORTER SPP200,SORTER_SPP_200A ; SORTER_SPP_200B ; SORTER_SPP_200C,,
SORTER_RORZE2,SORTER_RORZE2,,
SP1A,SP1,,
SP3,SP3A,,
SPAT,?,,
SPIN SCRUB1,SPIN_SCRUB1,,
SRD (TOUS MODÈLES),SRD_101 ; SRD_102 ; SRD_103 ; SRD_104 ; SRD_105 ; SRD_106 ; SRD_107 ; SRD_20B ; SRD_20H ; SRD_31B ; SRD_31H ; SRD_32 ; SRD_33 ; SRD_42 ; SRD_43 ; SRD_50 ; SRD_51 ; SRD_62 ; SRD_701 ; SRD_702 ; SRD_703 ; SRD_704 ; SRD_705 ; SRD_801,,
SSEC 3301,SSEC3301B,,
SSEC 3306,SSEC3306A,,
SSEC 3306 A,SSEC3306A,,
SSEC(TOUS MODÈLES),SSEC3301B ; SSEC3306A ; SSEC3302A,,
SSEC(TOUTES),SSEC3301B ; SSEC3306A ; SSEC3302A,,
SSEC3306,SSEC3306A,,
SSM,?,?,
STORK1,STORK1,,
STS HRM1,STSHRM1,,
STS PECVD1,?,N'existe plus je pense,PHOTO PIECES ASSOCIEES
STS VPX1,STSVPX1,,
SUMP1,?,,
SURF6200,SURF6200,,
SVG8620A,SVG_8620A,,
TAKATORI 300A,TAKATORI300A,,
TEL ACT8A ,TEL_ACT8A,,
TEL ACT8B,TEL_ACT8B,,
TEL ALFA,TEL_ALPHA4 ; TEL_ALPHA5,,
TEL ALPHA (TOUS MODÈLES),TEL_ALPHA4 ; TEL_ALPHA5,,
Tel Formula,TEL_FORMULA1,,
TEL ICVD ,TEL_ICVD,,
TEL LITHIUS 1,TEL_LITHIUS1,,
TEL MK8C,TEL_MK8C,,
TEL UNITY,TEL_UNITY1,,
TEL UNITY1,TEL_UNITY1,,
TEL_FORMULA1,TEL_FORMULA1,,
TEL_MK8C (MK8AOLD),TEL_MK8C,,
TEMPRESS (TOUS MODÈLES),TEMPRESS_1 ; TEMPRESS_2 ; TEMPRESS_3 ; TEMPRESS_4 ; TEMPRESS_5 ; TEMPRESS_6,,
TEMPRESS BHT,TEMPRESS_4 ; TEMPRESS_5 ; TEMPRESS_6,Tempress_4 ; Tempress_5 ; Tempress_6,
TMAP_2,TMAP_2,,
TOUTE CENTURA/ENDURA,END5500A ; END5500B ; END5500C ; END5500D ; END300A ; END300B,,
TRIAS1,TRIAS1,,
TXRF 300A,TXRF_300,,
TXRF V310A,TXRF_V310A,,
UV1050,UV1050,,
VALISE ADIXEN,?,=Impact Adixen probablement,
VERASEM1,?,Equipement sorti,PHOTO PIECES ASSOCIEES
VERITY4I,VERITY_4I,,
VERSALIS,VERSALIS1,,
VIISTA HCP1,VIISTA_HCP1,,
VIS 750,VIS_750 ; AVIS_750B ; VIS_750C ; VIS_750D,,
VISTEC3054,VISTEC_3054A,,
VPD300A,VPD300A,,
VT400 (TOUS MODÈLES),VT400 ; VT412 ; VT412B,,
VT412A,VT412,,
VT412B,VT412B,,
WDXRF,WDXRF2,,
WDXRF2,WDXRF2,,
WOOLLAM1,WOOLLAM1,,
WS3000A,WS3000A,,
WYK03,WYKO3,,
XACTIX,XACTIX_X3A,,
XPER_PRO1,XPER_PRO1,,
XPERPRO,XPER_PRO1,,
XPS 300A,?,,
XRD3,XRD3,,
YUSHIN B1,?,"Eqt sorti, au 40-04, bilan pièces à faire",