CODE ARTICLE CEA;INTITULÉ;ADRESSE;NOMBRE D'UC;FAMILLE PRODUIT;ZONE;EQUIPEMENTIER;REF ÉQUIPEMENTIER;MACHINE;FOURNISSEUR;REF FOURNISSEUR;STOCK MINIMUM;STOCK ALERTE;N° DE LOT; PRIX UNITAIRE ;DATE D'ENTRÉE; PRIX DU STOCK FINAL ;ALERTE MINI;ALERTE  PREVISION;PEREMPTIONS
SBC55L;CIBLE CU TE2 (4N) 100MM X 6MM;Cible_A1A;1;CIBLES / SLUGS;;;*;;NIKKO;.;0;0;; 5 198,00 € ;06/03/2014; 5 198,00 € ; ; ;
SBC72L;"CIBLE AL 5N5 SUPER FINE GRAIN DIAM 13.558 EP0.300""";Cible_A1A;1;CIBLES / SLUGS;;AAA - NON DÉFINIE;;END 5500D;PTS;*;2;2;; -   € ;20/12/2018; -   € ; Besoin;1;
SBS12XA;SLUGS GERMANIUM 99,999% 0.1''-0.5''(UNITÉ:GR);Cible_A1A;100;CIBLES / SLUGS;;;VANDROUX/CHARRIER;;PTS;VANDROUX/CHARRIER;0;200;; 6,57 € ;26/02/2018; 657,00 € ; ;1;
SBS13XA;SLUGS CR 99,9995 % 3MM A 5 MM(UNITÉ:GR);Cible_A1A;460;CIBLES / SLUGS;;;VANDROUX/CHARRIER;;PTS;VANDROUX/CHARRIER;100;100;; 1,59 € ;03/09/2018; 730,00 € ; ; ;
SBS15XA;SLUG AL 99.999 0.25 INCH;Cible_A1A;300;CIBLES / SLUGS;;;;;PTS;;0;100;; -   € ;13/11/2017; -   € ; ; ;
DEP_H57;BACKING PLATE 300MM PVD;Cible_A1A1;2;CIBLES / SLUGS;;;;VERSALIS;SPTS;;0;0;; -   € ;06/07/2016; -   € ; ; ;
SBC01L;CIBLE OR;Cible_A1A1;1;CIBLES / SLUGS;;;MATERION (FR);;WILLIAMS;MATERION (FR);0;1;; 2 303,85 € ;17/10/2018; 2 303,85 € ; ; ;
SBC02L;CIBLE TITANE 4N5 ENDURA G12 BHT;Cible_A1A1;1;CIBLES / SLUGS;DEPOT;;;;PRAXAIR;MRCFTI0022940;0;1;; 2 750,00 € ;24/10/2018; 2 750,00 € ; ; ;
SBC05L;CIBLE TITANE 4N5 ENDURA G4 41.01;Cible_A1A1;1;CIBLES / SLUGS;;;;;PRAXAIR;MRCFTI0022171;0;2;; 2 750,00 € ;08/08/2018; 2 750,00 € ; ;1;
SBC06L;CIBLE AL/SI 1% 5N5 (TOP HAT);Cible_A1A1;1;CIBLES / SLUGS;DEPOT;;4000312481;END 5500D;PRAXAIR;MRCFAL1121649;0;1;; 1 290,00 € ;05/11/2017; 1 290,00 € ; ; ;
SBC07L;CIBLE COPPER 5N5 TOP HAT 13IND MONOBLOC;Cible_A1A1;1;CIBLES / SLUGS;DEPOT;;;END 5500D;PRAXAIR;MRCFCU0026711;0;0;; 3 710,00 € ;05/02/2017; 3 710,00 € ; ; ;
SBC08L;CIBLE COPPER 300 MM 5N MONOBLOC;Cible_A1A1;2;CIBLES / SLUGS;;;;VERSALIS;PRAXAIR;MRCFCU0025670;0;2;; 2 570,00 € ;29/05/2018; 5 140,00 € ; ; ;
SBC10L;CIBLE COPPER 200MM 5N5 FGR MONOBLOC ;Cible_A1A1;1;CIBLES / SLUGS;;;;;PRAXAIR;MRCFCU0026455;0;1;; 3 550,00 € ;16/04/2012; 3 550,00 € ; ; ;
SBC12L;CIBLE CHROME 200 MM;Cible_A1A1;1;CIBLES / SLUGS;;;;;HONEYWELL;03-27688/01;0;0;; -   € ;09/12/2012; -   € ; ; ;
SBC18L;CIBLE PZT 200 MM;Cible_A1A1;1;CIBLES / SLUGS;DEPOT;;4000328254 RODRIGUEZ;END 5500D;PTS;NC;0;0;; -   € ;09/12/2012; -   € ; ; ;
SBC18LU;CIBLE PZT 200 MM;Cible_A1A1;1;CIBLES / SLUGS;DEPOT;;4000328254 RODRIGUEZ;END 5500D;PTS;NC;0;0;; -   € ;09/06/2016; -   € ; ; ;
SBC23L;CIBLE GE 99,99% 100 MM ;Cible_A1A1;1;CIBLES / SLUGS;;;;;PTS;NC;0;0;; 3 294,00 € ;06/05/2013; 3 294,00 € ; ; ;
SBC25L;CIBLE TITANE DIAM 100 MM EP 6 MM ;Cible_A1A1;1;CIBLES / SLUGS;;;;;NEYCO;NC;0;0;; 1 033,00 € ;06/05/2013; 1 033,00 € ; ; ;
SBC28L;CIBLE SILICIUM 5N DIAM 13.558'' EP 0.125'' ANGLE45;Cible_A1A1;1;CIBLES / SLUGS;DEPOT;;;END 5500D;PTS;NC;1;1;; 5 838,00 € ;15/09/2017; 5 838,00 € ; ; ;
SBC29L;CIBLE 300MM TITANIUM 4N5 MONOBLOC;Cible_A1A1;2;CIBLES / SLUGS;;;TRI-711382;;PRAXAIR;MRCFTI0025037;0;2;; 3 170,00 € ;10/07/2016; 6 340,00 € ; ; ;
SBC37L;CIBLE AL SFG SUPER FINE GRAIN DIAM 332 MM EP 7 MM;Cible_A1A1;1;CIBLES / SLUGS;DEPOT;;;SIGMA1;PTS;155014C/196768;0;1;; 4 211,00 € ;06/01/2017; 4 211,00 € ; ; ;
SBC38L;CIBLE OXYDE DE GADOLINIUM (GD203) DIAM 100 MMX6MM;Cible_A1A1;1;CIBLES / SLUGS;;;BERNARD MATHIEU ;;PRAXAIR;NC;0;1;; 4 211,00 € ;29/07/2014; 4 211,00 € ; ; ;
SBC40L;"CIBLE FE-NI 19% WT%  99.95% DIAM 13.558 X 0.078""""";Cible_A1A1;1;CIBLES / SLUGS;DEPOT;;4000312279;END 5500D;PTS;NC;0;0;; -   € ;24/06/2013; -   € ; ; ;
SBC40LU;"CIBLE FE-NI 19% WT%  99.95% DIAM 13.558 X 0.078""""";Cible_A1A1;1;CIBLES / SLUGS;DEPOT;;4000312279;END 5500D;PTS;NC;0;0;; -   € ;09/06/2016; -   € ; ; ;
SBC41L;"CIBLE CR 200 MM (BHT) 13.558 DIAM X0.310""""";Cible_A1A1;1;CIBLES / SLUGS;;;;END 5500C;WILLIAMS;NC;0;0;; -   € ;24/06/2013; -   € ; ; ;
SBC44L;CIBLE TA 99,99 % DIAM 100 MM X 6 MM EP.;Cible_A1A1;1;CIBLES / SLUGS;;;;;PTS;NC;0;0;; 4 958,50 € ;22/01/2014; 4 958,50 € ; ; ;
SBC45LU;CI ALSI 1% 99,999% DIAM.13.558X0.300 (FLAT) ;Cible_A1A1;1;CIBLES / SLUGS;DEPOT;;;END 5500D;PTS;NC;0;1;; 6 030,00 € ;09/06/2016; 6 030,00 € ; ; ;
SBC46LU;CIBLE ARGENT 99,999% DIAM 13.558X0.300;Cible_A1A1;1;CIBLES / SLUGS;DEPOT;;;END 5500D;PTS;NC;0;0;; 12 095,00 € ;15/06/2016; 12 095,00 € ; ; ;
SBC47L;CIBLE ITO (4N) 90/10 UHD.IV 254MM X 6 MM ;Cible_A1A1;1;CIBLES / SLUGS;;;TESSAIRE MAGALI ;AC CT200A;JX;LCQ-11X-000155A ;0;0;; 2 298,00 € ;09/06/2016; 2 298,00 € ; ; ;
SBC48L;CIBLE GD 99.4%;Cible_A1A1;1;CIBLES / SLUGS;;;BERNARD.M;;PTS;*;0;0;; 2 298,00 € ;20/03/2014; 2 298,00 € ; ; ;
SBC58L;CIBLE GE69.5%SB11%TE19.5%;Cible_A1A1;1;CIBLES / SLUGS;DEPOT;AMAT;;END 300B;JX;FNQ-A20-000587A ;1;1;; -   € ;12/01/2015; -   € ; ; ;
SBC59L;CIBLE SB (DIAMETRE 6.16,EPAISSEUR 0.118);Cible_A1A1;1;CIBLES / SLUGS;DEPOT;AMAT;;END 300B;JX;FNR-SBG-R00547B;1;1;; -   € ;29/09/2016; -   € ; ; ;
SBC59LU;CIBLE FLAT TIO2;Cible_A1A1;1;CIBLES / SLUGS;DEPOT;AAA - NON DÉFINIE;;END 5500D;JX;*;0;0;; -   € ;10/03/2016; -   € ; ; ;
SBC60LU;CIBLE ZR ENDURA A 200MM CHD TOP HAT PETIT DIAMETRE;Cible_A1A1;1;CIBLES / SLUGS;DEPOT;AAA - NON DÉFINIE;;END 5500A;JX;*;1;0;; -   € ;18/02/2016; -   € ; ; ;
SBC61L;CIBLE HALFIUM TOP HAT PETIT DIAMETRE ENDURA CHD;Cible_A1A1;1;CIBLES / SLUGS;DEPOT;AAA - NON DÉFINIE;;END 5500A;JX;*;1;0;; -   € ;26/02/2016; -   € ; ; ;
SBC62LU;CIBLE MGO RECTANGULAIRE 350X140X6MM AVIZA IBD 300;Cible_A1A1;1;CIBLES / SLUGS;DEPOT;AAA - NON DÉFINIE;USURE 6KWH;;;;1;0;; -   € ;26/02/2016; -   € ; ; ;
SBC63L;CIBLE COFE RECTANGULAIRE 350X140X6MM AVIZA IBD 300;Cible_A1A1;1;CIBLES / SLUGS;DEPOT;AAA - NON DÉFINIE;NEUVE;;PTS;*;1;0;; -   € ;26/02/2016; -   € ; ; ;
SBC64LU;CIBLE MO ;Cible_A1A1;1;CIBLES / SLUGS;DEPOT;AAA - NON DÉFINIE;;END 5500A;PTS;*;1;0;; -   € ;03/02/2016; -   € ; ; ;
SBC65L;CIBLE GZO;Cible_A1A1;1;CIBLES / SLUGS;DEPOT;AAA - NON DÉFINIE;;END 5500D;PTS;*;1;0;; -   € ;03/02/2016; -   € ; ; ;
SBC66L;CIBLE ZB/A AL DIAX0.276 5N5;Cible_A1A1;1;CIBLES / SLUGS;DEPOT;AAA - NON DÉFINIE;;;TOSOH;4444H-13-000-550;1;1;; 3 009,00 € ;14/09/2017; 3 009,00 € ; ; ;
SBC66LU;CIBLE IGZO;Cible_A1A1;1;CIBLES / SLUGS;DEPOT;AAA - NON DÉFINIE;;END 5500D;PTS;*;1;0;; -   € ;03/02/2016; -   € ; ; ;
SBC67LU;CIBLE GE;Cible_A1A1;1;CIBLES / SLUGS;DEPOT;AAA - NON DÉFINIE;;END 5500C;PTS;*;1;0;; -   € ;03/02/2016; -   € ; ; ;
SBC68LU;CIBLE CR;Cible_A1A1;1;CIBLES / SLUGS;DEPOT;AAA - NON DÉFINIE;;END 5500C;PTS;*;1;0;; -   € ;03/02/2016; -   € ; ; ;
SBC73L;CIBLE NI2P 300MM;Cible_A1A1;1;CIBLES / SLUGS;DEPOT;AAA - NON DÉFINIE;;END 300A;;;0;0;; -   € ;12/07/2017; -   € ; ; ;
SBS01XA3;SLUGS AU ;Cible_A1A1;1200;CIBLES / SLUGS;;;;;PRAXAIR;ND;0;0;; -   € ;26/02/2018; -   € ; ; ;
SBS02XA;SLUGS NI 0.25X0.25(UNITÉ:GR);Cible_A1A1;400;CIBLES / SLUGS;;;;;PTS;ND;0;300;; 0,42 € ;03/01/2011; 166,00 € ; ; ;
SBS03XA;SLUG PT 0.250X0.250(UNITÉ:GR);Cible_A1A1;300;CIBLES / SLUGS;;;;;PTS;NC;0;0;; 15,51 € ;17/05/2013; 4 654,00 € ; ; ;
SBS03XA2;SLUG PT 0.3X0.6(UNITÉ:GR);Cible_A1A1;280;CIBLES / SLUGS;;;;;NEYCO;PT3X64N;0;0;; 16,62 € ;16/04/2013; 4 654,00 € ; ; ;
SBS05XY;SLUGS INDIUM 6MM X 6MM  (UNITÉ:GR);Cible_A1A1;1900;CIBLES / SLUGS;;;;;PRAXAIR;NC;0;0;; 1,39 € ;19/01/2017; 2 650,00 € ; ; ;
SBS06XA;SLUGS PD 0,250X0,250(UNITÉ:GR);Cible_A1A1;150;CIBLES / SLUGS;;;;;PTS;NC;100;100;; -   € ;26/07/2013; -   € ; ; ;
SBS07XA;SLUG CU (COPPER) 99,9%(UNITÉ:GR);Cible_A1A1;300;CIBLES / SLUGS;;;;;PTS;NC;0;0;; -   € ;09/12/2012; -   € ; ; ;
SBS08XA;SLUG TI (TITANIUM) 99,9% (UNITÉ:GR);Cible_A1A1;1100;CIBLES / SLUGS;;;;;PTS;NC;0;500;; -   € ;13/09/2017; -   € ; ; ;
SBS09XA;SLUG FE2O3 (IRON OXYDE 99,9% 3-12 MM(UNITÉ:GR);Cible_A1A1;400;CIBLES / SLUGS;;;;;MATERION;1-1074;0;0;; -   € ;09/12/2012; -   € ; ; ;
SBS11XA;SLUGS SIO2 3 À 12 MM X(UNITÉ:GR);Cible_A1A1;200;CIBLES / SLUGS;;;;;PTS;NC;0;0;; 1,45 € ;07/04/2013; 290,00 € ; ; ;
SBS14XA;SLUGS ZNS 99,99 % DIAM 3 A 12 MM (UNITÉ:GR);Cible_A1A1;300;CIBLES / SLUGS;;;VANDROUX/CHARRIER;;PTS;NC;0;0;; 2,35 € ;09/01/2015; 706,00 € ; ; ;
SBS17XA;ITO 90 IN 203/0 SN 02 WT %;Cible_A1A1;200;CIBLES / SLUGS;;;*;;PTS;*;0;0;; -   € ;12/11/2013; -   € ; ; ;
SBB01L;BACKING PLATE VIERGE CUIVRE POUR CT200 DIAM290;Cible_E5A;0;CIBLES / SLUGS;DEPOT;ALLIANCE CONCEPT;CATHODE NORDICO PLAN;AC CT200A;ALLIANCE;REALISEE CHEZ PEYRONNARD;0;0;; -   € ;28/02/2018; 3 460,00 € ; ; ;
